flag,o0,o1,o2,o3
-tti,True,True,True,True
-verify,True,True,True,True
-targetlibinfo,True,True,True,True
-assumption-cache-tracker,True,True,True,True
-profile-summary-info,True,True,True,True
-annotation2metadata,True,True,True,True
-forceattrs,True,True,True,True
-basiccg,True,True,True,True
-always-inline,True,True,False,False
-annotation-remarks,True,True,True,True
-tbaa,False,True,True,True
-scoped-noalias-aa,False,True,True,True
-lower-expect,False,True,True,True
-simplifycfg,False,True,True,True
-domtree,False,True,True,True
-sroa,False,True,True,True
-early-cse,False,True,True,True
-inferattrs,False,True,True,True
-ipsccp,False,True,True,True
-called-value-propagation,False,True,True,True
-globalopt,False,True,True,True
-mem2reg,False,True,True,True
-deadargelim,False,True,True,True
-basic-aa,False,True,True,True
-aa,False,True,True,True
-loops,False,True,True,True
-lazy-branch-prob,False,True,True,True
-lazy-block-freq,False,True,True,True
-opt-remark-emitter,False,True,True,True
-instcombine,False,True,True,True
-globals-aa,False,True,True,True
-prune-eh,False,True,True,True
-function-attrs,False,True,True,True
-memoryssa,False,True,True,True
-early-cse-memssa,False,True,True,True
-libcalls-shrinkwrap,False,True,True,True
-postdomtree,False,True,True,True
-branch-prob,False,True,True,True
-block-freq,False,True,True,True
-pgo-memop-opt,False,True,True,True
-reassociate,False,True,True,True
-loop-simplify,False,True,True,True
-lcssa-verification,False,True,True,True
-lcssa,False,True,True,True
-scalar-evolution,False,True,True,True
-licm,False,True,True,True
-loop-rotate,False,True,True,True
-loop-unswitch,False,True,True,True
-loop-idiom,False,True,True,True
-indvars,False,True,True,True
-loop-deletion,False,True,True,True
-loop-unroll,False,True,True,True
-sccp,False,True,True,True
-demanded-bits,False,True,True,True
-bdce,False,True,True,True
-adce,False,True,True,True
-memcpyopt,False,True,True,True
-barrier,False,True,True,True
-rpo-function-attrs,False,True,True,True
-globaldce,False,True,True,True
-float2int,False,True,True,True
-lower-constant-intrinsics,False,True,True,True
-loop-accesses,False,True,True,True
-loop-distribute,False,True,True,True
-inject-tli-mappings,False,True,True,True
-loop-vectorize,False,True,True,True
-loop-load-elim,False,True,True,True
-vector-combine,False,True,True,True
-transform-warning,False,True,True,True
-alignment-from-assumptions,False,True,True,True
-strip-dead-prototypes,False,True,True,True
-cg-profile,False,True,True,True
-loop-sink,False,True,True,True
-instsimplify,False,True,True,True
-div-rem-pairs,False,True,True,True
-inline,False,False,True,True
-openmp-opt-cgscc,False,False,True,True
-speculative-execution,False,False,True,True
-lazy-value-info,False,False,True,True
-jump-threading,False,False,True,True
-correlated-propagation,False,False,True,True
-tailcallelim,False,False,True,True
-mldst-motion,False,False,True,True
-phi-values,False,False,True,True
-memdep,False,False,True,True
-gvn,False,False,True,True
-dse,False,False,True,True
-elim-avail-extern,False,False,True,True
-slp-vectorizer,False,False,True,True
-constmerge,False,False,True,True
-callsite-splitting,False,False,False,True
-argpromotion,False,False,False,True
-aggressive-instcombine,False,False,False,True
